Date,Price,Open,High,Low,Vol.,Change %
1-Feb-12,14.96,15.06,15.06,14.6,729.42K,-0.13%
2-Feb-12,14.86,14.85,15,14.51,608.54K,-0.67%
6-Feb-12,14.73,14.51,14.88,14.51,1.19M,-0.87%
7-Feb-12,14.95,14.72,15.05,14.7,623.80K,1.49%
8-Feb-12,14.88,14.87,15,14.8,836.25K,-0.47%
9-Feb-12,14.89,14.83,15.09,14.8,505.30K,0.07%
12-Feb-12,15.48,14.95,15.93,14.95,617.29K,3.96%
13-Feb-12,16.89,15.93,17.02,15.93,1.16M,9.11%
14-Feb-12,16.97,17.75,18.5,16.4,1.08M,0.47%
15-Feb-12,16.1,16.4,16.5,15.58,867.55K,-5.13%
16-Feb-12,15.9,15.99,16,15.75,447.83K,-1.24%
19-Feb-12,15.76,15.8,15.98,15.6,636.71K,-0.88%
20-Feb-12,16,15.9,16.25,15.6,792.37K,1.52%
21-Feb-12,15.54,15.62,15.94,15.41,227.14K,-2.88%
22-Feb-12,15.66,15.41,15.79,15.41,97.19K,0.77%
23-Feb-12,16,16,16.22,15.91,506.54K,2.17%
26-Feb-12,15.97,16.15,16.15,15.89,403.48K,-0.19%
27-Feb-12,15.82,16,16,15.67,259.78K,-0.94%
28-Feb-12,15.94,15.71,15.99,15.71,69.68K,0.76%
29-Feb-12,15.99,15.96,16,15.94,1.12M,0.31%
1-Mar-12,16.13,16.01,16.35,15.96,556.00K,0.88%
4-Mar-12,15.81,16.4,16.4,15.59,378.08K,-1.98%
5-Mar-12,15.73,15.84,15.96,15.6,1.20M,-0.51%
6-Mar-12,15.8,15.8,15.9,15.7,478.28K,0.45%
7-Mar-12,15.75,15.89,15.9,15.6,1.12M,-0.32%
8-Mar-12,15.81,15.79,15.85,15.75,649.94K,0.38%
11-Mar-12,15.74,15.89,15.89,15.62,49.40K,-0.44%
12-Mar-12,15.54,15.65,15.8,15.2,320.35K,-1.27%
13-Mar-12,14.95,15.5,15.5,14.62,547.94K,-3.80%
14-Mar-12,15.26,14.5,15.4,14.5,1.15M,2.07%
15-Mar-12,15.06,15.1,15.3,14.8,842.35K,-1.31%
18-Mar-12,14.98,15.31,15.31,14.9,65.93K,-0.53%
19-Mar-12,14.86,14.82,15,14.72,308.55K,-0.80%
20-Mar-12,14.9,14.76,14.97,14.75,765.58K,0.27%
21-Mar-12,14.97,14.96,15.07,14.8,515.91K,0.47%
22-Mar-12,15,15,15,14.92,334.23K,0.20%
25-Mar-12,14.61,14.96,14.96,14.51,159.76K,-2.60%
26-Mar-12,14.11,14.5,14.5,13.92,563.33K,-3.42%
27-Mar-12,14.04,14.1,14.5,13.89,1.28M,-0.50%
28-Mar-12,14.2,14.1,14.65,13.81,1.23M,1.14%
29-Mar-12,14.16,14.3,14.3,13.99,1.16M,-0.28%
1-Apr-12,14.06,14.1,14.18,13.95,414.48K,-0.71%
2-Apr-12,13.65,14.03,14.1,13.45,2.27M,-2.92%
3-Apr-12,13.64,13.7,13.87,13.58,1.29M,-0.07%
4-Apr-12,13.48,13.66,13.85,13.27,961.35K,-1.17%
5-Apr-12,13.66,13,13.84,13,1.31M,1.34%
8-Apr-12,13.74,13.75,13.81,13.68,673.77K,0.59%
9-Apr-12,12.5,12.37,13.65,12.37,1.01M,-9.02%
10-Apr-12,12.07,12.46,12.6,11.61,1.82M,-3.44%
11-Apr-12,12.14,12,12.25,11.92,2.33M,0.58%
12-Apr-12,12.3,12.25,12.9,12.2,4.41M,1.32%
17-Apr-12,12.38,12.6,12.66,12.2,1.30M,0.65%
18-Apr-12,12.32,12.3,12.47,12.23,736.09K,-0.48%
19-Apr-12,12.35,12.31,12.45,12.28,1.02M,0.24%
22-Apr-12,12.73,12.4,13.25,12.34,1.29M,3.08%
23-Apr-12,13.49,13.21,13.83,13,3.98M,5.97%
24-Apr-12,13.3,13.52,13.52,13.01,1.80M,-1.41%
26-Apr-12,13.38,13.5,13.58,13.21,1.19M,0.60%
29-Apr-12,13.27,13.12,13.4,13.07,182.71K,-0.82%
30-Apr-12,12.97,13.3,13.31,12.8,681.79K,-2.26%
2-May-12,12.8,13,13,12.6,1.03M,-1.31%
3-May-12,12.95,12.81,13.07,12.79,248.23K,1.17%
6-May-12,13.05,13.05,13.2,13,119.52K,0.77%
